City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,dudinka,69.4058,86.1778,-17.71,97,100,3.63,RU,1738844474
338,sinabang,2.4803,96.3801,26.84,82,64,1.77,ID,1738844475
339,luanda,-8.8368,13.2343,28.14,71,89,5.59,AO,1738844071
340,petoskey,45.3733,-84.9553,-5.09,85,100,1.54,US,1738844427
341,pisco,-13.7,-76.2167,23.03,88,0,1.03,PE,1738844340
342,huntington,38.4193,-82.4452,13.5,88,100,1.54,US,1738844219
343,kapuskasing,49.4169,-82.4331,-8.95,86,100,3.09,CA,1738844480
344,san julian,21.0167,-102.1667,11.91,37,5,0.85,MX,1738844481
345,newman,37.3138,-121.0208,4.47,88,18,2.59,US,1738844482
346,driefontein,-27.0177,30.4498,24.23,66,71,3.92,ZA,1738844356
347,keflavik,64.0049,-22.5624,6.24,100,100,13.38,IS,1738844486
348,sofo-birnin-gwari,11.0154,6.7804,34.01,6,0,3.07,NG,1738844487
349,lazaro cardenas,17.9583,-102.2,21.8,88,3,1.69,MX,1738844488
350,kittila,67.6647,24.8936,-1.92,86,0,6.69,FI,1738844489
351,luau,-10.7073,22.2247,20.85,88,100,2.27,AO,1738844490
352,laguna,38.421,-121.4238,4.08,93,0,3.09,US,1738844491
353,kapa'a,22.0752,-159.319,18.18,94,20,3.6,US,1738844492
354,gobabis,-22.45,18.9667,33.74,19,50,5.37,NA,1738844493
355,kourou,5.1552,-52.6478,24.76,92,98,4.05,GF,1738844494
356,broome,42.2506,-75.833,-2.99,87,100,5.14,US,1738844495
357,laojunmiao,39.8333,97.7333,-10.08,56,1,1.95,CN,1738844222
358,inirida,3.8653,-67.9239,23.44,93,91,1.46,CO,1738844497
